Brazil,,16,,43,,41,,10,,43,,47,,81,,19,,1,,80,,19,,1,
China,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m
Colombia,2,88,,3,,9,,88,,3,,9,,97,,3,,0,,97,,3,,0,
Costa Rica,,100,,,a,,a,100,,,a,,a,100,,,a,,a,100,,,a,,a
India,5,21,,79,,0,,21,,63,,16,,43,,57,,0,,43,,57,,0,
Indonesia,2,24,,7,,68,,24,,7,,68,,100,,0,,0,,100,,0,,0,
Lithuania,,78,,,a,22,,26,,,a,74,,99,,,a,1,,99,,,a,1,
Russian Federation,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m
Saudi Arabia,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m
South Africa,5,1,,99,,,a,1,,99,,,a,100,,0,,,a,100,,0,,,a
,,,,,,,,,,,,,,,,,,,,,,,,,
G20 average,,35,,,m,,m,24,,,m,,m,77,,,m,,m,76,,,m,,m
,,,,,,,,,,,,,,,,,,,,,,,,,
1. Primary education includes pre-primary programmes.,,,,,,,,,,,,,,,,,,,,,,,,,
2. Year of reference 2015.,,,,,,,,,,,,,,,,,,,,,,,,,
3. Regional transfers to local governments are included in the regional rather than local final funds.,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Some levels of education are included with others. Refer to ""x"" code in Table B4.1 for details.",,,,,,,,,,,,,,,,,,,,,,,,,
5. Year of reference 2013.,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: OECD / UIS / Eurostat (2017). See Source section for more information and Annex 3 for notes (www.oecd.org/education/education-at-a-glance-19991487.htm).
",,,,,,,,,,,,,,,,,,,,,,,,,
Please refer to the Reader's Guide for information concerning symbols for missing data and abbreviations.,,,,,,,,,,,,,,,,,,,,,,,,,
http://stats.oecd.org/index.aspx?queryid=79389,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
